Date,Sleep Hours,Stress Level (1–10),Mood,Notes,Suggested Food
2025-06-22,7.5,3,Anxious,"Did yoga, feeling balanced","Avocado, Dark Chocolate"
2025-06-23,5.3,5,Angry,Focused and productive,"Herbal Tea, Cucumber Salad"
2025-06-24,5.3,9,Sad,Took a long walk and felt great,"Banana, Oatmeal"
2025-06-25,5.5,6,Sad,Exams are stressing me out,"Banana, Oatmeal"
2025-06-26,6.6,4,Sad,"Had a rough night, didn't sleep well","Banana, Oatmeal"
2025-06-27,8.9,10,Anxious,Felt energetic today,"Avocado, Dark Chocolate"
2025-06-28,8.0,1,Sad,"Met a friend, mood improved","Banana, Oatmeal"
2025-06-29,6.1,6,Anxious,Too many tasks today,"Avocado, Dark Chocolate"
2025-06-30,5.8,10,Sad,"Did yoga, feeling balanced","Banana, Oatmeal"
2025-07-01,7.7,2,Neutral,Exams are stressing me out,"Rice, Lentils"
2025-07-02,6.8,1,Tired,"Did yoga, feeling balanced","Nuts, Greek Yogurt"
2025-07-03,8.4,2,Anxious,Stayed up late watching a series,"Avocado, Dark Chocolate"
2025-07-04,7.9,4,Tired,Too many tasks today,"Nuts, Greek Yogurt"
2025-07-05,5.8,10,Happy,"Did yoga, feeling balanced","Grilled Chicken, Quinoa Salad"
2025-07-06,5.2,8,Sad,Felt energetic today,"Banana, Oatmeal"
2025-07-07,7.5,2,Tired,Exams are stressing me out,"Nuts, Greek Yogurt"
2025-07-08,7.6,2,Anxious,"Did yoga, feeling balanced","Avocado, Dark Chocolate"
2025-07-09,7.3,3,Sad,"Started journaling, feel clearer","Banana, Oatmeal"
2025-07-10,6.4,2,Tired,"Skipped breakfast, feeling low","Nuts, Greek Yogurt"
2025-07-11,7.6,2,Angry,Too many tasks today,"Herbal Tea, Cucumber Salad"
2025-07-12,5.9,6,Anxious,Work pressure is high,"Avocado, Dark Chocolate"
2025-07-13,6.4,6,Anxious,Exams are stressing me out,"Avocado, Dark Chocolate"
2025-07-14,7.2,7,Tired,Focused and productive,"Nuts, Greek Yogurt"
2025-07-15,4.7,8,Sad,Bad dreams disturbed sleep,"Banana, Oatmeal"
2025-07-16,7.6,8,Neutral,"Did yoga, feeling balanced","Rice, Lentils"
2025-07-17,4.7,2,Anxious,Work pressure is high,"Avocado, Dark Chocolate"
2025-07-18,6.3,9,Happy,Stayed up late watching a series,"Grilled Chicken, Quinoa Salad"
2025-07-19,6.3,2,Tired,"Had a rough night, didn't sleep well","Nuts, Greek Yogurt"
2025-07-20,5.3,8,Anxious,Bad dreams disturbed sleep,"Avocado, Dark Chocolate"
2025-07-21,6.4,2,Neutral,Too many tasks today,"Rice, Lentils"
